10061,3.00,35Åã 18' 36.363",139Åã 32' 6.576",0,2.00,1007,1008,,,
10062,3.00,35Åã 18' 56.187",139Åã 32' 6.514",0,2.00,1036,1037,,,
10063,3.00,35Åã 18' 47.235",139Åã 32' 6.554",0,2.00,1025,1026,,,
10064,3.00,35Åã 18' 55.347",139Åã 32' 6.550",0,2.00,1034,1035,,,
10065,3.00,35Åã 18' 55.852",139Åã 32' 6.556",0,2.00,1035,1036,,,
10066,3.00,35Åã 18' 46.957",139Åã 32' 6.595",0,3.00,1024,1025,1193,,
10067,3.00,35Åã 18' 35.942",139Åã 32' 6.747",0,2.00,1183,1184,,,
10068,3.00,35Åã 18' 54.358",139Åã 32' 6.676",0,2.00,1051,1052,,,
10069,3.00,35Åã 18' 46.197",139Åã 32' 6.714",0,2.00,1023,1024,,,
10070,3.00,35Åã 18' 54.538",139Åã 32' 6.715",0,3.00,1050,1051,1195,,
10071,3.00,35Åã 18' 56.626",139Åã 32' 6.713",0,3.00,1046,1047,1196,,
10072,3.00,35Åã 18' 45.930",139Åã 32' 6.778",0,2.00,1022,1023,,,
10073,3.00,35Åã 18' 45.801",139Åã 32' 6.824",0,3.00,1021,1022,1191,,
10074,3.00,35Åã 18' 36.393",139Åã 32' 6.862",0,2.00,1008,1009,,,
10075,3.00,35Åã 18' 47.243",139Åã 32' 6.855",0,2.00,1057,1058,,,
10076,3.00,35Åã 18' 56.161",139Åã 32' 6.843",0,2.00,1047,1048,,,
10077,3.00,35Åã 18' 36.317",139Åã 32' 6.952",0,2.00,1009,1010,,,
10078,3.00,35Åã 18' 55.987",139Åã 32' 6.893",0,2.00,1048,1049,,,
10079,3.00,35Åã 18' 55.636",139Åã 32' 6.931",0,2.00,1049,1050,,,
10080,3.00,35Åã 18' 35.975",139Åã 32' 6.985",0,2.00,1184,1185,,,
10081,3.00,35Åã 18' 36.327",139Åã 32' 7.049",0,3.00,1010,1011,1186,,
10082,3.00,35Åã 18' 47.004",139Åã 32' 7.028",0,3.00,1058,1059,1193,,
10083,3.00,35Åã 18' 36.098",139Åã 32' 7.097",0,2.00,1185,1186,,,
10084,3.00,35Åã 18' 45.881",139Åã 32' 7.120",0,3.00,1101,1102,1191,,
10085,3.00,35Åã 18' 33.742",139Åã 32' 7.297",0,3.00,1473,1474,1496,,
10086,3.00,35Åã 18' 46.072",139Åã 32' 7.254",0,2.00,1102,1103,,,
10087,3.00,35Åã 18' 33.348",139Åã 32' 7.416",0,3.00,1426,1427,1496,,
10088,3.00,35Åã 18' 43.956",139Åã 32' 7.444",0,2.00,1020,1021,,,
10089,3.00,35Åã 18' 46.615",139Åã 32' 7.438",0,2.00,1059,1060,,,
10090,3.00,35Åã 18' 43.762",139Åã 32' 7.505",0,2.00,1019,1020,,,
10091,3.00,35Åã 18' 33.875",139Åã 32' 7.785",0,2.00,1474,1475,,,
10092,3.00,35Åã 18' 46.431",139Åã 32' 7.768",0,3.00,1060,1061,1192,,
10093,3.00,35Åã 18' 43.798",139Åã 32' 7.811",0,2.00,1100,1101,,,
10094,3.00,35Åã 18' 46.137",139Åã 32' 7.826",0,3.00,1103,1104,1192,,
10095,3.00,35Åã 18' 33.487",139Åã 32' 7.928",0,2.00,1427,1428,,,
10096,3.00,35Åã 18' 40.823",139Åã 32' 8.492",0,3.00,1018,1019,1190,,
10097,3.00,35Åã 18' 40.253",139Åã 32' 8.681",0,2.00,1017,1018,,,
10098,3.00,35Åã 18' 39.993",139Åã 32' 8.750",0,2.00,1016,1017,,,
10099,3.00,35Åã 18' 40.899",139Åã 32' 8.785",0,3.00,1099,1100,1190,,
10100,3.00,35Åã 18' 40.437",139Åã 32' 8.938",0,2.00,1098,1099,,,
10101,3.00,35Åã 18' 40.343",139Åã 32' 8.975",0,2.00,1097,1098,,,
10102,3.00,35Åã 18' 40.178",139Åã 32' 9.019",0,2.00,1096,1097,,,
10103,3.00,35Åã 18' 40.013",139Åã 32' 9.063",0,2.00,1095,1096,,,
10104,3.00,35Åã 18' 36.550",139Åã 32' 9.148",0,3.00,1011,1012,1187,,
10105,3.00,35Åã 18' 38.258",139Åã 32' 9.168",0,2.00,1015,1016,,,
10106,3.00,35Åã 18' 36.314",139Åã 32' 9.195",0,1.00,1187,,,,
10107,3.00,35Åã 18' 37.942",139Åã 32' 9.242",0,2.00,1014,1015,,,
10108,3.00,35Åã 18' 36.763",139Åã 32' 9.352",0,3.00,1012,1013,1189,,
10109,3.00,35Åã 18' 36.831",139Åã 32' 9.416",0,2.00,1013,1014,,,
10110,3.00,35Åã 18' 46.332",139Åã 32' 9.479",0,2.00,1104,1105,,,
10111,3.00,35Åã 18' 38.101",139Åã 32' 9.524",0,2.00,1094,1095,,,
10112,3.00,35Åã 18' 46.356",139Åã 32' 9.668",0,2.00,1105,1106,,,
10113,3.00,35Åã 18' 36.791",139Åã 32' 9.728",0,3.00,1093,1094,1189,,
10114,3.00,35Åã 18' 36.624",139Åã 32' 9.754",0,2.00,1092,1093,,,
10115,3.00,35Åã 18' 46.660",139Åã 32' 9.767",0,2.00,1061,1062,,,
